Zeit;Kanal A
(ms);(V)

-4,91119165;1,35165500
-4,91108765;1,35165500
-4,91098365;1,39825300
-4,91087965;1,35165500
-4,91077565;1,39825300
-4,91067165;1,35165500
-4,91056765;1,39825300
-4,91046365;1,35165500
-4,91035965;1,39825300
-4,91025565;1,39825300
-4,91015165;1,39825300
-4,91004765;1,39825300
-4,90994365;1,39825300
-4,90983965;1,39825300
-4,90973565;1,39825300
-4,90963165;1,39825300
-4,90952765;1,35165500
-4,90942365;1,35165500
-4,90931965;1,39825300
-4,90921565;1,35165500
-4,90911165;1,39825300
-4,90900765;1,39825300
-4,90890365;1,39825300
-4,90879965;1,35165500
-4,90869565;1,35165500
-4,90859165;1,35165500
-4,90848765;1,39825300
-4,90838365;1,39825300
-4,90827965;1,39825300
-4,90817565;1,39825300
-4,90807165;1,35165500
-4,90796765;1,39825300
-4,90786365;1,39825300
-4,90775965;1,39825300
-4,90765565;1,39825300
-4,90755165;1,39825300
-4,90744765;1,35165500
-4,90734365;1,35165500
-4,90723965;1,39825300
-4,90713565;1,35165500
-4,90703165;1,35165500
-4,90692765;1,39825300
-4,90682365;1,39825300
-4,90671965;1,39825300
-4,90661565;1,35165500
-4,90651165;1,35165500
-4,90640765;1,39825300
-4,90630365;1,39825300
-4,90619965;1,39825300
-4,90609565;1,39825300
-4,90599165;1,39825300
-4,90588765;1,39825300
-4,90578365;1,39825300
-4,90567965;1,39825300
-4,90557565;1,35165500
-4,90547165;1,35165500
-4,90536765;1,39825300
-4,90526365;1,39825300
-4,90515965;1,35165500
-4,90505565;1,35165500
-4,90495165;1,39825300
-4,90484765;1,35165500
-4,90474365;1,39825300
-4,90463965;1,35165500
-4,90453565;1,39825300
-4,90443165;1,35165500
-4,90432765;1,39825300
-4,90422365;1,39825300
-4,90411965;1,39825300
-4,90401565;1,39825300
-4,90391165;1,39825300
-4,90380765;1,39825300
-4,90370365;1,39825300
-4,90359965;1,39825300
-4,90349565;1,39825300
-4,90339165;1,39825300
-4,90328765;1,39825300
-4,90318365;1,35165500
-4,90307965;1,35165500
-4,90297565;1,35165500
-4,90287165;1,35165500
-4,90276765;1,35165500
-4,90266365;1,39825300
-4,90255965;1,39825300
-4,90245565;1,39825300
-4,90235165;1,39825300
-4,90224765;1,39825300
-4,90214365;1,39825300
-4,90203965;1,39825300
-4,90193565;1,39825300
-4,90183165;1,39825300
-4,90172765;1,39825300
-4,90162365;1,39825300
-4,90151965;1,39825300
-4,90141565;1,39825300
-4,90131165;1,35165500
-4,90120765;1,39825300
-4,90110365;1,39825300
-4,90099965;1,39825300
-4,90089565;1,39825300
-4,90079165;1,39825300
-4,90068765;1,39825300
-4,90058365;1,35165500
-4,90047965;1,35165500
-4,90037565;1,39825300
-4,90027165;1,39825300
-4,90016765;1,39825300
-4,90006365;1,39825300
-4,89995965;1,39825300
-4,89985565;1,39825300
-4,89975165;1,35165500
-4,89964765;1,39825300
-4,89954365;1,39825300
-4,89943965;1,39825300
-4,89933565;1,39825300
-4,89923165;1,35165500
-4,89912765;1,39825300
-4,89902365;1,39825300
-4,89891965;1,35165500
-4,89881565;1,35165500
-4,89871165;1,39825300
-4,89860765;1,39825300
-4,89850365;1,35165500
-4,89839965;1,35165500
-4,89829565;1,39825300
-4,89819165;1,39825300
-4,89808765;1,35165500
-4,89798365;1,39825300
-4,89787965;1,39825300
-4,89777565;1,39825300
-4,89767165;1,39825300
-4,89756765;1,39825300
-4,89746365;1,39825300
-4,89735965;1,35165500
-4,89725565;1,35165500
-4,89715165;1,39825300
-4,89704765;1,39825300
-4,89694365;1,35165500
-4,89683965;1,39825300
-4,89673565;1,35165500
-4,89663165;1,39825300
-4,89652765;1,39825300
-4,89642365;1,39825300
-4,89631965;1,39825300
-4,89621565;1,35165500
-4,89611165;1,35165500
-4,89600765;1,39825300
-4,89590365;1,39825300
-4,89579965;1,39825300
-4,89569565;1,35165500
-4,89559165;1,39825300
-4,89548765;1,35165500
-4,89538365;1,39825300
-4,89527965;1,39825300
-4,89517565;1,39825300
-4,89507165;1,35165500
-4,89496765;1,39825300
-4,89486365;1,39825300
-4,89475965;1,39825300
-4,89465565;1,39825300
-4,89455165;1,39825300
-4,89444765;1,35165500
-4,89434365;1,35165500
-4,89423965;1,35165500
-4,89413565;1,35165500
-4,89403165;1,39825300
-4,89392765;1,35165500
-4,89382365;1,39825300
-4,89371965;1,39825300
-4,89361565;1,39825300
-4,89351165;1,39825300
-4,89340765;1,39825300
-4,89330365;1,39825300
-4,89319965;1,39825300
-4,89309565;1,39825300
-4,89299165;1,35165500
-4,89288765;1,39825300
-4,89278365;1,39825300
-4,89267965;1,30505700
-4,89257565;1,39825300
-4,89247165;1,35165500
-4,89236765;1,39825300
-4,89226365;1,39825300
-4,89215965;1,39825300
-4,89205565;1,39825300
-4,89195165;1,39825300
-4,89184765;1,39825300
-4,89174365;1,39825300
-4,89163965;1,35165500
-4,89153565;1,39825300
-4,89143165;1,35165500
-4,89132765;1,39825300
-4,89122365;1,35165500
-4,89111965;1,39825300
-4,89101565;1,35165500
-4,89091165;1,35165500
-4,89080765;1,35165500
-4,89070365;1,39825300
-4,89059965;1,35165500
-4,89049565;1,35165500
-4,89039165;1,39825300
-4,89028765;1,35165500
-4,89018365;1,39825300
-4,89007965;1,35165500
-4,88997565;1,39825300
-4,88987165;1,39825300
-4,88976765;1,39825300
-4,88966365;1,35165500
-4,88955965;1,39825300
-4,88945565;1,39825300
-4,88935165;1,39825300
-4,88924765;1,39825300
-4,88914365;1,39825300
